,Permit..,Issued.Date,Applied,Approved,Permit.Type,Permit.Sub.Type,Address,Description,Contractor.Name,RECORDID
42,BLDG23-1772,05/11/2023,4/19/2023, 5/4/2023,COMMERCIAL,TENANT FINISH,11059 DOVER ST #100,Access Control for Cerapedics-...,,EPRS:230419081831651
55,BLDG23-2192,05/10/2023,5/9/2023 ,5/10/2023,COMMERCIAL,WATER REPAIR,7905 LOWELL BLVD,water line repair,RG Excavating Corp,ECON:230509094842896
20,BLDG23-0784,05/09/2023,2/21/2023, 7/19/2023,COMMERCIAL,TENANT FINISH,11859 PECOS ST,TF for Lilique Aesthetics,SUMMIT CUSTOM BUILDERS INC,EPRS:230221124222555
53,BLDG23-2159,05/09/2023,5/8/2023 ,5/9/2023,COMMERCIAL,WATER REPAIR,8751 YUKON ST,water line repair,RG Excavating Corp,ECON:230508041704451
49,BLDG23-2038,05/08/2023,5/3/2023 ,5/4/2023,COMMERCIAL,WATER REPAIR,9975 WADSWORTH PKWY #A,Irrigation Repair,AMERICAN LEAK DETECTION OF MET...,ECON:230503030422830
50,BLDG23-2053,05/05/2023,5/4/2023 ,5/4/2023,COMMERCIAL,FIRELINE REPAIR,1185 W 124TH AVE,Emergency fire line repair up ...,PIPE X LLC,ECON:230504110301092
39,BLDG23-1635,05/04/2023,4/10/2023, 7/19/2023,COMMERCIAL,TENANT FINISH,12200 PECOS ST,Access Control for CO Dept of ...,STANLEY CONVERGENT SECURITY SO...,ECON:230410115857369
33,BLDG23-1463,04/27/2023,3/30/2023, 7/19/2023,COMMERCIAL,TENANT FINISH,8960 WESTMINSTER BLVD,TF for Bluebird Dentistry,Mountain States Construction C...,ECON:230330040718170
23,BLDG23-0961,04/19/2023,3/2/2023 ,4/19/2023,COMMERCIAL,TENANT FINISH,9120 WADSWORTH PKWY,New Liquor store - Winter Liqu...,DENVER BUILDERS INC,ECON:230302095236009
37,BLDG23-1597,04/14/2023,4/6/2023 ,4/12/2023,COMMERCIAL,DEMOLITION,1257 W 120TH AVE,Demo Prep for new Tenants (for...,ALLSTAR CONSTRUCTION,EPRS:230406103453709
29,BLDG23-1039,04/06/2023,3/8/2023 ,3/13/2023,COMMERCIAL,BUILDING,9153 YARROW ST #1412,1412 interior remodel,JD EISENACH CONST INC,ECON:230308014646410
38,BLDG23-1604,04/06/2023,4/6/2023 ,4/20/2023,COMMERCIAL,TENANT FINISH,12004 MELODY DR,"Electrical moved, Temporary wa...",BRANDON BARRAZA,ECON:230406124325170
21,BLDG23-0813,04/05/2023,2/23/2023, 4/5/2023,COMMERCIAL,BUILDING,4680 W 120TH AVE #400,Renovation of existing Verizon...,SCHEINER COMMERCIAL GROUP INC,ECON:230223100835574
22,BLDG23-0860,04/05/2023,2/26/2023, 4/5/2023,COMMERCIAL,TENANT FINISH,8300 ALCOTT ST,EFR TO MODIFY EXISTING AT&T MO...,Crown Castle - Gary Abrahams,ECON:230226053507118
25,BLDG23-0985,04/05/2023,3/6/2023 ,7/19/2023,COMMERCIAL,BUILDING,8601 SHERIDAN BLVD,Sauna renovation for Chuze fit...,KILGORE CONSTRUCTION,ECON:230306100603586
26,BLDG23-1021,04/04/2023,3/7/2023 ,7/19/2023,COMMERCIAL,TENANT FINISH,12170 TEJON ST #100,TF for Blinds Couture OCC PERM...,Rogers & Sons Inc,ECON:230307043004706
3,BLDG23-0080,04/03/2023,1/6/2023 ,4/3/2023,COMMERCIAL,TENANT FINISH,14458 DELAWARE ST #600,TF for Party City,"BIG SKY CONSTRUCTION GROUP, LL...",ECON:230106094203363
7,BLDG23-0159,03/29/2023,1/10/2023, 3/29/2023,COMMERCIAL,TENANT FINISH,10448 TOWN CENTER DR #102,TF for an Island Fin Poke Rest...,COSTAL DEVELOPMENT GROUP LLC D...,ECON:230110044232309
16,BLDG23-0640,03/28/2023,2/10/2023, 3/28/2023,COMMERCIAL,TENANT FINISH,8950 WESTMINSTER BLVD,TF for Central bank,PRISMA INTERNATIONAL,ECON:230210100424875
14,BLDG23-0354,03/27/2023,1/24/2023, 3/27/2023,COMMERCIAL,BUILDING,10155 WESTMOOR DR BLDG 3,Level One Lobby Remodel,SAND CONSTRUCTION of COLORADO ...,ECON:230124105128494
15,BLDG23-0534,03/25/2023,2/3/2023 ,3/25/2023,COMMERCIAL,TENANT FINISH,5055 W 72ND AVE #E,TF for La Canasta Mexican Bake...,RED ROCK CONTRACTORS LLC,LBRE:230203032445795
28,BLDG23-1037,03/22/2023,3/8/2023 ,3/13/2023,COMMERCIAL,BUILDING,9153 YARROW ST #1611,1611 interior remodel,JD EISENACH CONST INC,ECON:230308014222788
17,BLDG23-0650,03/15/2023,2/10/2023, 3/15/2023,COMMERCIAL,TENANT FINISH,5191 W 112TH AVE #100,Smedley Vision Tenant Finish,COMMERCIAL BUILDING SERVICES,EPRS:230210035920129
9,BLDG23-0274,02/20/2023,1/18/2023, 7/26/2023,COMMERCIAL,TENANT FINISH,3075 W 71ST AVE #100,TF for a Rachel Sorbet Portrai...,INTERWORKS LLC,ECON:230118034236201
8,BLDG23-0256,02/17/2023,1/17/2023, 2/17/2023,COMMERCIAL,TENANT FINISH,11080 CIRCLE POINT RD #180,Vanilla box spec suite #180,Ponderosa Construction Inc,ECON:230117042724430
12,BLDG23-0344,01/30/2023,1/23/2023, 1/26/2023,COMMERCIAL,BUILDING,9153 YARROW ST #1619,1619 remodel unit,JD EISENACH CONST INC,ECON:230123024946877
11,BLDG23-0328,01/23/2023,1/21/2023, 1/23/2023,COMMERCIAL,SEWER REPAIR,9085 MARSHALL CT,6' SPOT REPAIR IN BACK LOT AND...,TRENCH RIGHT,ECON:230121082654929
6,BLDG23-0131,01/13/2023,1/10/2023, 1/12/2023,COMMERCIAL,BUILDING,9153 YARROW ST 1511,1511 remodel,JD EISENACH CONST INC,ECON:230110084309357
