,Permit..,Issued.Date,Applied,Approval,Permit.Type,Permit.Sub.Type,Address,Description,Contractor.Name,RECORDID
5922,BLDG22-5941,10/06/2022,9/13/2022,10/6/2022,COMMERCIAL,TENANT FINISH,6515 W 104TH AVE #300,TF for Mile High Hot tubs,BROKERS CONTRACTING INC,EPRS:220913024447646
5941,BLDG22-5962,02/06/2023,9/14/2022,1/30/2023,COMMERCIAL,TENANT FINISH,13648 ORCHARD PKWY #300,"TF for Salon ""Sharkey's Cuts f...",TOGALA CONTRACTOR BUILDER LLC,ECON:220914120818461
6013,BLDG22-6033,09/19/2022,9/16/2022,9/19/2022,COMMERCIAL,WATER REPAIR,3701 W 68TH AVE BLDG A,10'Lx8'Dx5'W excavation in yar...,MASTER ROOTER PLUMBING LLC,ECON:220916102239226
6070,BLDG22-6090,11/03/2022,9/19/2022,11/3/2022,COMMERCIAL,BUILDING,12200 PECOS ST #100,Adams County 1stFloor remodel ...,MARK YOUNG CONSTRUCTION,ECON:220919032813150
6071,BLDG22-6091,12/06/2022,9/19/2022,10/10/2022,COMMERCIAL,TENANT FINISH,8825 EATON ST,TF for Edward Jones,TURN KEY GENERAL CONTRACTORS I...,ECON:220919033640379
6141,BLDG22-6164,09/21/2022,9/21/2022,9/21/2022,COMMERCIAL,WATER REPAIR,7701 W 92ND AVE,Installing a water line in the...,AFFORD A ROOTER,ECON:220921125430945
6196,BLDG22-6219,,9/25/2022,,COMMERCIAL,TENANT FINISH,9140 W 100TH AVE #A1,Plumbing,BRADLEY PLUMBING SYSTEMS INC,ECON:220925115242530
6197,BLDG22-6220,,9/25/2022,,COMMERCIAL,TENANT FINISH,9140 W 100TH AVE #A1,Plumbing,BRADLEY PLUMBING SYSTEMS INC,ECON:220925115844593
6302,BLDG22-6325,10/03/2022,9/29/2022,10/3/2022,COMMERCIAL,WATER REPAIR,581 W 123RD AVE BLDG CH,water line repair,RG Excavating Corp,ECON:220929015332712
6334,BLDG22-6357,,10/3/2022,,COMMERCIAL,TENANT FINISH,680 W 121ST AVE,Plumbing underground/rough in,CUSTOM PLUMBING SYSTEMS,ECON:221003020424362
6428,BLDG22-6451,,10/6/2022,,COMMERCIAL,TENANT FINISH,4650 W 120TH AVE,test,,ECON:221006044113225
