Permit Name,Res / Com,Duration,Work Type,Count of Reviews,Occurances of Repeat Reviews,Worst Review,WR Count
2022-120794 PR,Residential ,116,Addition and Remodel,9,3,Fire Review,3
2022-120828 PR,Commericial ,45,Remodel,21,9,Building Plans - Mechanical,5
2022-120895 PR,Residential ,8,Demolition,2,0,Historic Preservation,1
2022-120896 PR,Residential ,44,New,5,1,Residential Zoning Review,2
2022-121005 PR,Commericial ,14,Remodel,13,0,Commercial Building Plans,1
2022-121045 PR,Residential ,67,New,7,3,Residential Zoning Review,2
2022-121083 PR,Residential ,65,Addition and Remodel,9,2,Residential Zoning Review,2
2022-121183 PR,Residential ,66,New,12,3,Residential Zoning Review,2
2022-121455 PR,Residential ,0,Repair,1,0,None,0
2022-121522 PR,Residential ,34,New,6,0,Residential Zoning Review,1
2022-121560 PR,Residential ,38,New,12,5,Tech Master Review,2
2022-121604 PR,Residential ,29,Repair,2,0,Flood Plain Review,1
2022-121644 PR,Residential ,97,Addition and Remodel,9,4,Residential Zoning Review,2
2022-121652 PR,Residential ,37,New,12,5,Tech Master Review,2
2022-121803 PR,Commericial ,21,Demolition,2,0,Historic Preservation,1
2022-121805 PR,Residential ,90,Addition and Remodel,5,2,Residential Zoning Review,2
2022-121864 PR,Residential ,30,Addition and Remodel,2,0,Residential Zoning Review,1
2022-121979 PR,Commericial ,52,Remodel,19,5,Commercial Building Plans,3
2022-121997 PR,Residential ,83,Addition and Remodel,5,2,Residential Zoning Review,2
2022-122013 PR,Residential ,43,New,7,2,Residential Zoning Review,2
2022-122028 PR,Residential ,34,New,6,0,Residential Zoning Review,1
2022-122029 PR,Commericial ,1,Remodel,4,0,Commercial Building Plans,1
2022-122051 PR,Residential ,63,Addition and Remodel,8,3,Residential Zoning Review,2
2022-122054 PR,Commericial ,37,Remodel,4,0,Commercial Building Plans,1
2022-122061 PR,Residential ,6,Demolition,2,0,Historic Preservation,1
2022-122078 PR,Residential ,0,Repair,1,0,None,0
2022-122099 PR,Commericial ,36,Remodel,4,0,Commercial Building Plans,1
2022-122107 PR,Residential ,139,Addition and Remodel,9,3,Residential Zoning Review,2
2022-122114 PR,Residential ,6,Demolition,3,0,Historic Preservation,1
2022-122163 PR,Residential ,0,Repair,1,0,None,0
2022-122170 PR,Commericial ,70,Remodel,6,1,Commercial Building Plans,3
2022-122181 PR,Residential ,58,New,7,1,Residential Zoning Review,2
2022-122202 PR,Residential ,0,Repair,1,0,None,0
2022-122209 PR,Residential ,27,New,14,6,Tech Master Review,2
2022-122235 PR,Residential ,183,New,16,7,Tech Master Review,2
2022-122303 PR,Residential ,0,Repair,1,0,None,0
2022-122316 PR,Residential ,36,New,6,0,Residential Zoning Review,1
2022-122381 PR,Commericial ,8,New,5,0,Commercial Building Plans,1
2022-122454 PR,Residential ,8,Demolition,3,0,Historic Preservation,1
2022-122492 PR,Commericial ,5,New,4,0,Commercial Building Plans,1
2022-122510 PR,Residential ,34,Addition and Remodel,4,1,Tech Master Review,2
2022-122520 PR,Residential ,70,Addition and Remodel,7,2,Residential Zoning Review,3
2022-122802 PR,Residential ,5,Repair,2,0,Flood Plain Review,1
2022-122811 PR,Residential ,21,Addition and Remodel,4,1,Residential Zoning Review,2
2022-122818 PR,Residential ,5,Repair,2,0,Flood Plain Review,1
2022-122860 PR,Residential ,0,Repair,1,0,None,0
2022-123088 PR,Residential ,76,Addition and Remodel,10,2,Residential Zoning Review,2
2022-123177 PR,Residential ,75,New,10,4,Residential Zoning Review,2
2022-123308 PR,Residential ,0,Repair,1,0,None,0
2022-123322 PR,Residential ,5,Repair,2,0,Flood Plain Review,1
2022-123337 PR,Residential ,0,Repair,1,0,None,0
2022-123341 PR,Residential ,0,Repair,1,0,None,0
2022-123344 PR,Residential ,0,Repair,1,0,None,0
2022-123427 PR,Residential ,0,Repair,1,0,None,0
2022-123437 PR,Residential ,47,Addition and Remodel,5,2,Residential Zoning Review,2
2022-123443 PR,Residential ,0,Repair,1,0,None,0
2022-123462 PR,Residential ,4,Repair,2,0,Flood Plain Review,1
2022-123487 PR,Residential ,0,Repair,1,0,None,0
2022-123501 PR,Residential ,62,New,15,6,AE BSPA,3
2022-123545 PR,Residential ,47,Addition and Remodel,7,1,Residential Zoning Review,2
2022-123548 PR,Residential ,39,Addition and Remodel,4,0,Residential Zoning Review,1
2022-123628 PR,Residential ,25,Demolition,3,0,Historic Preservation,1
2022-123667 PR,Residential ,133,Addition and Remodel,9,3,Tech Master Review,3
2022-123770 PR,Residential ,24,Addition and Remodel,10,4,Tech Master Review,2
2022-123839 PR,Residential ,0,Repair,1,0,None,0
2022-123917 PR,Commericial ,186,Remodel,17,6,Commercial Building Plans,2
2022-123925 PR,Commericial ,21,Remodel,12,0,Commercial Building Plans,1
2022-123962 PR,Residential ,0,Repair,1,0,None,0
2022-123968 PR,Residential ,0,Repair,1,0,None,0
2022-123999 PR,Residential ,3,Repair,2,0,Flood Plain Review,1
2022-124001 PR,Residential ,3,Repair,2,0,Flood Plain Review,1
2022-124002 PR,Residential ,0,Repair,1,0,None,0
2022-124005 PR,Residential ,0,Repair,1,0,None,0
2022-124008 PR,Residential ,0,Repair,1,0,None,0
2022-124035 PR,Commericial ,3,Remodel,5,1,Commercial Building Plans,2
2022-124074 PR,Commericial ,40,Remodel,12,1,Building Plans - Electrical,2
2022-124085 PR,Commericial ,50,Remodel,14,4,Commercial Building Plans,2
2022-124137 PR,Residential ,0,Repair,1,0,None,0
2022-124208 PR,Commericial ,38,Remodel,21,10,Building Plans - Energy,7
2022-126781 PR,Commericial ,100,Remodel,20,7,Commercial Building Plans,3
2022-127829 PR,Residential ,0,Repair,1,0,None,0
2022-127923 PR,Residential ,71,New,7,3,Residential Zoning Review,2
2022-127962 PR,Residential ,9,Demolition,3,0,Historic Preservation,1
2022-128024 PR,Residential ,31,Addition and Remodel,6,2,Residential Zoning Review,2
2022-128066 PR,Residential ,15,Demolition,3,0,Historic Preservation,1
2022-128185 PR,Residential ,76,New,14,6,Tech Master Review,2
2022-128213 PR,Residential ,147,New,16,7,Tech Master Review,2
2022-128375 PR,Residential ,69,New,18,8,Tech Master Review,2
2022-128390 PR,Residential ,103,Addition and Remodel,4,1,Tech Master Review,2
2022-128428 PR,Residential ,48,Addition and Remodel,10,3,Residential Zoning Review,2
